"main_category","product","category","calories","protein","carbs","fat","fiber"
"Loose Items","Banana","Fruit","89","1.1","22.8","0.3","2.6"
"Loose Items","Apple","Fruit","52","0.3","14","0.2","2.4"
"Loose Items","Mango","Fruit","60","0.8","15","0.4","1.6"
"Loose Items","Orange","Fruit","47","0.9","12","0.1","2.4"
"Loose Items","Pineapple","Fruit","50","0.5","13","0.1","1.4"
"Loose Items","Grapes","Fruit","69","0.6","18.1","0.2","0.9"
"Loose Items","Papaya","Fruit","43","0.5","10.8","0.3","1.7"
"Loose Items","Guava","Fruit","68","2.6","14.3","1","5.4"
"Loose Items","Avocado","Fruit","160","2","8.5","14.7","6.7"
"Loose Items","Strawberry","Fruit","33","0.7","7.7","0.3","2"
"Loose Items","Potato (boiled)","Vegetable","87","2","20.1","0.1","1.8"
"Loose Items","Sweet potato","Vegetable","86","1.6","20.1","0.1","3"
"Loose Items","Tomato","Vegetable","18","0.9","3.9","0.2","1.2"
"Loose Items","Carrot","Vegetable","41","0.9","9.6","0.2","2.8"
"Loose Items","Onion","Vegetable","40","1.1","9.3","0.1","1.7"
"Loose Items","Garlic","Vegetable","149","6.4","33.1","0.5","2.1"
"Loose Items","Spinach (raw)","Vegetable","23","2.9","3.6","0.4","2.2"
"Loose Items","Broccoli (raw)","Vegetable","34","2.8","6.6","0.4","2.6"
"Loose Items","Cabbage","Vegetable","25","1.3","5.8","0.1","2.5"
"Loose Items","Cucumber","Vegetable","16","0.7","3.6","0.1","0.5"
"Loose Items","Lettuce","Vegetable","15","1.4","2.9","0.2","1.3"
"Loose Items","Bell pepper (red)","Vegetable","31","1","6","0.3","2.1"
"Loose Items","Eggplant","Vegetable","25","1","5.9","0.2","3"
"Loose Items","Zucchini","Vegetable","17","1.2","3.1","0.3","1"
"Loose Items","Mushroom (white)","Vegetable","22","3.1","3.3","0.3","1"
"Loose Items","White rice (cooked)","Grains","130","2.7","28","0.3","0.4"
"Loose Items","Brown rice (cooked)","Grains","123","2.7","25.6","1","1.8"
"Loose Items","Basmati rice (cooked)","Grains","121","3.5","25.2","0.4","0.6"
"Loose Items","Bread (white)","Grains","265","9","49","3.2","2.7"
"Loose Items","Bread (whole wheat)","Grains","247","13","41","4.2","7"
"Loose Items","Oats (rolled, dry)","Grains","389","16.9","66.3","6.9","10.6"
"Loose Items","Pasta (cooked)","Grains","131","5","25","1.1","1.3"
"Loose Items","Quinoa (cooked)","Grains","120","4.4","21.3","1.9","2.8"
"Loose Items","Maize/Corn (cooked)","Grains","86","3.4","19","1.2","2.4"
"Loose Items","Porridge (millet, cooked)","Grains","119","3.5","23.7","1","1.3"
"Loose Items","Chicken breast (cooked, skinless)","Meat & Poultry","165","31","0","3.6","0"
"Loose Items","Chicken thigh (cooked)","Meat & Poultry","209","26","0","10.9","0"
"Loose Items","Beef (lean, cooked)","Meat & Poultry","250","26","0","15","0"
"Loose Items","Pork (cooked)","Meat & Poultry","242","27","0","14","0"
"Loose Items","Lamb (cooked)","Meat & Poultry","294","25.6","0","21.1","0"
"Loose Items","Turkey (cooked)","Meat & Poultry","135","29","0","1","0"
"Loose Items","Egg (whole, boiled)","Protein","155","13","1.1","11","0"
"Loose Items","Tofu (firm)","Protein","76","8","1.9","4.8","0.3"
"Loose Items","Tempeh","Protein","193","19","9.4","11","1.4"
"Loose Items","Paneer (cottage cheese)","Protein","265","18","1.2","20.8","0"
"Loose Items","Canned tuna (in water, drained)","Seafood","116","26","0","0.6","0"
"Loose Items","Salmon (cooked)","Seafood","208","20.4","0","13.4","0"
"Loose Items","Sardines (canned in oil)","Seafood","208","24.6","0","11.5","0"
"Loose Items","Shrimp (cooked)","Seafood","99","24","0.2","0.3","0"
"Loose Items","Mackerel (cooked)","Seafood","205","19","0","13.9","0"
"Loose Items","Red lentils (cooked)","Legumes","116","9","20","0.4","7.9"
"Loose Items","Chickpeas (cooked)","Legumes","164","8.9","27.4","2.6","7.6"
"Loose Items","Black beans (cooked)","Legumes","132","8.9","23.7","0.5","8.7"
"Loose Items","Kidney beans (cooked)","Legumes","127","8.7","22.8","0.5","6.4"
"Loose Items","Green peas (cooked)","Legumes","81","5.4","14.5","0.4","5.1"
"Loose Items","Peanut butter (smooth)","Spreads","588","25","20","50","6"
"Loose Items","Almonds (raw)","Nuts & Seeds","579","21.2","21.6","49.9","12.5"
"Loose Items","Cashews (raw)","Nuts & Seeds","553","18.2","30.2","43.9","3.3"
